Price,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
Ticker,AAPL,TSLA,XOM,AAPL,TSLA,XOM,AAPL,TSLA,XOM,AAPL,TSLA,XOM,AAPL,TSLA,XOM
Date,,,,,,,,,,,,,,,
2020-05-27,77.21858978271484,54.68199920654297,36.504722595214844,77.3642363430493,55.180667877197266,37.21523655694581,76.00002862396322,52.33333206176758,35.849467718563716,76.7403955523751,54.7239990234375,36.836295175044285,112945200,173242500,20788300
2020-05-28,77.2525634765625,53.72066879272461,35.55735397338867,78.51239377679266,54.983333587646484,36.678388087696284,76.61658126415462,53.44599914550781,35.470512708733835,76.89330301256463,54.23400115966797,36.65470520153851,133560800,108834000,19698000
2020-05-29,77.17732238769531,55.66666793823242,35.89683532714844,77.9565214299296,55.66666793823242,36.07051490585486,76.82049167356892,53.61399841308594,35.02842538738314,77.49531352794295,53.91666793823242,35.38368386221629,153532400,176467500,25874700
2020-06-01,78.1264419555664,59.87333297729492,36.53628921508789,78.24781284336196,59.93333435058594,36.67049928002598,77.00011656103608,56.939998626708984,35.36788617404171,77.13119919406478,57.20000076293945,35.778406649797006,80791200,224092500,19031000
2020-06-02,78.4881362915039,58.770668029785156,37.349430084228516,78.51241195418596,60.57733154296875,37.45995422846287,77.41764401588712,58.06666564941406,36.90733049573405,77.85943588986717,59.64666748046875,36.9941717552202,87642800,203484000,22319000
2020-06-03,78.92020416259766,58.86399841308594,38.87309646606445,79.18236942622238,59.862667083740234,38.99941022095871,78.23567058388883,58.67333221435547,37.85469012322845,78.80854502107137,59.20800018310547,37.894162606965885,104491200,119242500,23418000
2020-06-04,78.24053955078125,57.62533187866211,38.7625732421875,79.04158453578323,59.71666717529297,38.80204874150176,77.8667151007641,57.229331970214844,38.020480233069236,78.74301685979307,59.32533264160156,38.58889369374743,87560400,133315500,18731400
2020-06-05,80.46888732910156,59.04399871826172,41.904624938964844,80.52957276449304,59.10133361816406,42.19672490003489,78.46141579319185,57.746665954589844,40.73621907157042,78.49054361691735,58.522666931152344,40.7756945624791,137250400,117178500,41328900
2020-06-08,80.9446792602539,63.327999114990234,43.21513748168945,80.97866666833863,63.33333206176758,43.70460292301845,79.45424844734958,60.61066818237305,42.20462439472812,80.16548014966298,61.266666412353516,43.19934788531657,95654400,212620500,33579400
2020-06-09,83.50074768066406,62.711334228515625,42.251991271972656,83.89398820325025,63.62933349609375,42.60724964539333,80.59270571799298,61.595333099365234,41.407267479370965,80.62426333660154,62.66733169555664,41.74673625713323,147712400,170823000,27276900
2020-06-10,85.64900207519531,68.336669921875,39.986244201660156,86.11749189610212,68.49866485595703,42.23620928611012,84.01049518819849,65.5,39.946768699623014,84.44985718304342,66.12533569335938,42.23620928611012,166651600,278451000,31156800
